# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 310; 60.027; 466.471; 
0.74; 315; 60.027; 471.155; 
0.74; 320; 60.027; 475.461; 
0.74; 325; 60.027; 479.531; 
0.74; 330; 60.027; 483.135; 
0.74; 335; 60.027; 486.203; 
0.74; 340; 60.027; 488.924; 
0.74; 345; 60.027; 490.653; 
0.74; 350; 60.027; 491.14; 
0.74; 355; 60.027; 490.967; 
0.74; 360; 60.027; 490.034; 
0.74; 365; 60.027; 487.791; 
0.74; 370; 60.027; 484.66; 
0.74; 375; 60.027; 480.51; 
0.74; 380; 60.027; 474.632; 
0.74; 385; 60.027; 466.208; 
0.74; 390; 60.027; 456.741; 
0.74; 395; 60.027; 445.995; 
0.74; 400; 60.027; 432.753; 
0.74; 405; 60.027; 414.113; 
0.74; 260; 61.3042; 409.106; 
0.74; 265; 61.3042; 414.675; 
0.74; 270; 61.3042; 420.168; 
0.74; 275; 61.3042; 425.645; 
0.74; 280; 61.3042; 431.063; 
0.74; 285; 61.3042; 436.322; 
0.74; 290; 61.3042; 441.527; 
0.74; 295; 61.3042; 446.667; 
0.74; 300; 61.3042; 451.569; 
0.74; 305; 61.3042; 456.321; 
0.74; 310; 61.3042; 460.912; 
0.74; 315; 61.3042; 465.137; 
0.74; 320; 61.3042; 469.086; 
0.74; 325; 61.3042; 472.667; 
0.74; 330; 61.3042; 475.757; 
0.74; 335; 61.3042; 478.404; 
0.74; 340; 61.3042; 480.261; 
0.74; 345; 61.3042; 480.922; 
0.74; 350; 61.3042; 480.794; 
0.74; 355; 61.3042; 479.97; 
0.74; 360; 61.3042; 478.257; 
0.74; 365; 61.3042; 475.343; 
0.74; 370; 61.3042; 471.451; 
0.74; 375; 61.3042; 466.006; 
0.74; 380; 61.3042; 457.909; 
0.74; 385; 61.3042; 448.723; 
0.74; 390; 61.3042; 438.389; 
0.74; 395; 61.3042; 426.171; 
0.74; 400; 61.3042; 407.976; 
0.74; 405; 61.3042; 389.07; 
0.74; 260; 62.5814; 405.836; 
0.74; 265; 62.5814; 411.231; 
0.74; 270; 62.5814; 416.543; 
0.74; 275; 62.5814; 421.828; 
0.74; 280; 62.5814; 427.043; 
0.74; 285; 62.5814; 432.088; 
0.74; 290; 62.5814; 437.046; 
0.74; 295; 62.5814; 441.915; 
0.74; 300; 62.5814; 446.524; 
0.74; 305; 62.5814; 450.986; 
